SKU,SKU DESCRIPTION
Z07R4LL,IBM Maximo Archiving with Optim Data Growth Solution Authorized User Advanced Support 12 Months
D0I36ZX,IBM Financial Transaction Manager Common Services for Red Hat OpenShift Resource Value Unit LIC + SW S&S 12 MO
D0I3DZX,IBM Financial Transaction Manager Common Services for Red Hat OpenShift for IBM Z Resource Value Unit SW S&S Reinstate 12 Mo
D0I3GZX,IBM Financial Transaction Manager T2/EURO1 for Red Hat OpenShift Resource Value Unit LIC + SW S&S 12 MO
D0I38ZX,IBM Financial Transaction Manager Common Services for Red Hat OpenShift Resource Value Unit SW S&S Reinstate 12 Mo
D0I3BZX,IBM Financial Transaction Manager Common Services for Red Hat OpenShift for IBM Z Resource Value Unit LIC + SW S&S 12 MO
D0I3IZX,IBM Financial Transaction Manager T2/EURO1 for Red Hat OpenShift Resource Value Unit SW S&S Reinstate 12 Mo
D0I3LZX,IBM Financial Transaction Manager T2/EURO1 for Red Hat OpenShift for IBM Z Resource Value Unit LIC + SW S&S 12 MO
D0I3NZX,IBM Financial Transaction Manager T2/EURO1 for Red Hat OpenShift for IBM Z Resource Value Unit SW S&S Reinstate 12 Mo
D0I3RZX,IBM Financial Transaction Manager CBPRPlus for Red Hat OpenShift Resource Value Unit LIC + SW S&S 12 MO
D0I3TZX,IBM Financial Transaction Manager CBPRPlus for Red Hat OpenShift Resource Value Unit SW S&S Reinstate 12 Mo
D0I3WZX,IBM Financial Transaction Manager CBPRPlus for Red Hat OpenShift for IBM Z Resource Value Unit LIC + SW S&S 12 MO
D0I3YZX,IBM Financial Transaction Manager CBPRPlus for Red Hat OpenShift for IBM Z Resource Value Unit SW S&S Reinstate 12 Mo
E0I34ZX,IBM Financial Transaction Manager Common Services for Red Hat OpenShift Resource Value Unit Annual SW S&S Rnwl
E0I39ZX,IBM Financial Transaction Manager Common Services for Red Hat OpenShift for IBM Z Resource Value Unit Annual SW S&S Rnwl
E0I3EZX,IBM Financial Transaction Manager T2/EURO1 for Red Hat OpenShift Resource Value Unit Annual SW S&S Rnwl
E0I3JZX,IBM Financial Transaction Manager T2/EURO1 for Red Hat OpenShift for IBM Z Resource Value Unit Annual SW S&S Rnwl
E0I3PZX,IBM Financial Transaction Manager CBPRPlus for Red Hat OpenShift Resource Value Unit Annual SW S&S Rnwl
E0I3UZX,IBM Financial Transaction Manager CBPRPlus for Red Hat OpenShift for IBM Z Resource Value Unit Annual SW S&S Rnwl
X0130LL,IBM Rational ClearQuest Floating User Extended Support 12Mo
X019BLL,IBM Rational ClearQuest Authorized User Extended Support 12Mo
X028XLL,IBM Rational ClearQuest for IBM Z Floating User Extended Support 12Mo
X028YLL,IBM Rational ClearQuest for IBM Z Authorized User Extended Support 12Mo
Y078ILL,IBM Rational Synergy Authorized User Sustained Support 12 Mo
Y0AZELL,IBM Rational Synergy for IBM Z Authorized User Sustained Support 12 Mo
Y0C0ELL,IBM Rational Synergy Concurrent User Sustained Support 12 Mo
Y0C0FLL,IBM Rational Synergy for IBM Z Concurrent User Sustained Support 12 Mo
Z0I34ZX,IBM Financial Transaction Manager Common Services for Red Hat OpenShift Resource Value Unit Advanced Support 12Mo
Z0I39ZX,IBM Financial Transaction Manager Common Services for Red Hat OpenShift for IBM Z Resource Value Unit Advanced Support 12Mo
Z0I3EZX,IBM Financial Transaction Manager T2/EURO1 for Red Hat OpenShift Resource Value Unit Advanced Support 12Mo
Z0I3JZX,IBM Financial Transaction Manager T2/EURO1 for Red Hat OpenShift for IBM Z Resource Value Unit Advanced Support 12Mo
Z0I3PZX,IBM Financial Transaction Manager CBPRPlus for Red Hat OpenShift Resource Value Unit Advanced Support 12Mo
Z0I3UZX,IBM Financial Transaction Manager CBPRPlus for Red Hat OpenShift for IBM Z Resource Value Unit Advanced Support 12Mo
X012ELL,IBM DevOps Test Performance Virtual Users 250 Floating User Extended Support 12Mo
X012HLL,IBM DevOps Test Performance Virtual Users 500 Floating User Extended Support 12Mo
X012JLL,IBM DevOps Test Performance Virtual Users 100 Floating User Extended Support 12Mo
X012KLL,IBM DevOps Test Performance Virtual Users 10000 Floating User Extended Support 12Mo
X012LLL,IBM DevOps Test Performance Virtual Users 1000 Floating User Extended Support 12Mo
X012ILL,IBM DevOps Test Performance Virtual Users 5 Floating User Extended Support 12Mo
X012MLL,IBM DevOps Test Performance Virtual Users 20000 Floating User Extended Support 12Mo
X012NLL,IBM DevOps Test Performance Virtual Users 2500 Floating User Extended Support 12Mo
X012PLL,IBM DevOps Test Performance Virtual Users 50000 Floating User Extended Support 12Mo
X012QLL,IBM DevOps Test Performance Virtual Users for Linux on IBM Z 100000 Floating User Extended Support 12Mo
X012RLL,IBM DevOps Test Performance Virtual Users 5000 Floating User Extended Support 12Mo
X01MYLL,IBM DevOps Test Performance Virtual Users for Linux on IBM Z 50 Floating User Extended Support 12Mo
X0DTKLL,IBM DevOps Test Workbench Floating User Single Install Extended Support 12Mo
X0DTLLL,IBM DevOps Test Workbench Floating User Single Install INVALID DATA
X0DTRLL,IBM DevOps Test Workbench Authorized User Single Install Extended Support 12Mo
X0DTSLL,IBM DevOps Test Workbench Authorized User Single Install Extended Support 12Mo
Z05TKLL,IBM Security Verify Identity and Access Manager Unlimited User Option Processor Value Unit (PVU) Advanced Support Subscription Licence
Z05TLLL,IBM Security Verify Identity and Access Manager User Value Unit Advanced Support Subscription Licence
Z05TMLL,IBM Security Verify Identity and Access Manager for Linux on IBM Z User Value Unit Advanced Support Subscription Licence
Z05U1LL,IBM Security Verify Identity and Access Manager Application Edition User Value Unit Advanced Support Subscription Licence
Z05U3LL,IBM Security Verify Identity and Access Manager Host Edition User Value Unit Advanced Support Subscription Licence
Z05U2LL,IBM Security Verify Identity and Access Manager Unlimited User Option for Linux on IBM Z Processor Value Unit (PVU) Advanced Support Subscription Licence
D1VKBLL,IBM Storage Scale Standard Edition Server license Per Socket SW Subscription & Support Reinstatement 12 Months
D2356LL,IBM Storage Scale Erasure Code Edition per Petabyte License + SW Subscription & Support 12 Months
D2711LL,IBM Storage Scale Data Access Edition per Petabyte Petabyte License + Software Subscription and Support 12 Months
D2712LL,IBM Storage Scale Data Access Edition per Petabyte Petabyte Software Subscription & Support Reinstatement 12 Months
E0NYQLL,IBM Storage Scale Standard Edition Client license per Socket Annual SW Subscription & Support Renewal 12 Months
E0NYSLL,IBM Storage Scale Standard Edition Server license Per Socket Annual SW Subscription & Support Renewal 12 Months
E0NYRLL,IBM Storage Scale Standard Edition FPO license Per Socket Annual SW Subscription & Support Renewal 12 Months
E0NZ9LL,IBM Storage Scale Advanced Edition Client license Per Socket Annual SW Subscription & Support Renewal 12 Months
E0NZALL,IBM Storage Scale Advanced Edition FPO license Per Socket Annual SW Subscription & Support Renewal 12 Months
E0NZCLL,IBM Storage Scale Advanced Edition Server license Per Socket Annual SW Subscription & Support Renewal 12 Months
E0Q6ALL,IBM Storage Scale Erasure Code Edition per Petabyte Annual SW Subscription & Support Renewal 12 Months
E0QS9LL,IBM Storage Scale Data Access Edition per Petabyte Petabyte Software Subscription and Support Renewal 12 Months
E0QSALL,IBM Storage Scale Data Management Edition per Petabyte License SW Subscription and Support Renewal 12 Months
D0D1WLL,IBM Informix WRKGRP EDition CPU Option Limited Use Socket License + SW Subscription & Support 12 Months
D1Q4FLL,IBM App Connect Enterprise Virtual Processor Core SW Subscription & Support Reinstatement 12 Months
D1Q4ELL,IBM App Connect Enterprise Virtual Processor Core License + SW Subscription & Support 12 Months
D1WVJLL,IBM App Connect Enterprise for non-production Virtual Processor Core License + SW Subscription & Support 12 Months
D22FPLL,IBM App Connect Enterprise for non-production for Linux on IBM Z per Virtual Processor Core Software Subscription and Support Reinstatement 12 Months
D1WVKLL,IBM App Connect Enterprise for non-production Virtual Processor Core SW Subscription & Support Reinstatement 12 Months
D22FNLL,IBM App Connect Enterprise for non-production for Linux on IBM Z per Virtual Processor Core License + Software Subscription and Support 12 Months
D22FSLL,IBM App Connect Enterprise for Linux on IBM Z per Virtual Processor Core License + Software Subscription and Support 12 Months
